f, X_norm
 0.018750, 0.004510
 0.018875, 0.001186
 0.019000, 0.002611
 0.019125, 0.003133
 0.019250, 0.000784
 0.019375, 0.001418
 0.019500, 0.002463
 0.019625, 0.002083
 0.019750, 0.004981
 0.019875, 0.004661
 0.020000, 0.002211
 0.020125, 0.001129
 0.020250, 0.002245
 0.020375, 0.003450
 0.020500, 0.002754
 0.020625, 0.002941
 0.020750, 0.004849
 0.020875, 0.003299
 0.021000, 0.004179
 0.021125, 0.006669
 0.021250, 0.005455
 0.021375, 0.002424
 0.021500, 0.005721
 0.021625, 0.000974
 0.021750, 0.013357
 0.021875, 0.011491
 0.022000, 0.004209
 0.022125, 0.003054
 0.022250, 0.002368
 0.022375, 0.006275
 0.022500, 0.005165
 0.022625, 0.010467
 0.022750, 0.044934
 0.022875, 0.076518
 0.023000, 0.033314
 0.023125, 0.007716
 0.023250, 0.013198
 0.023375, 0.004550
 0.023500, 0.018940
 0.023625, 0.010733
 0.023750, 0.013777
 0.023875, 0.025647
 0.024000, 0.024977
 0.024125, 0.017529
 0.024250, 0.005480
 0.024375, 0.020472
 0.024500, 0.037222
 0.024625, 0.031624
 0.024750, 0.006490
 0.024875, 0.022443
 0.025000, 0.042830
 0.025125, 0.044477
 0.025250, 0.037167
 0.025375, 0.033668
 0.025500, 0.045902
 0.025625, 0.036999
 0.025750, 0.045785
 0.025875, 0.047625
 0.026000, 0.051979
 0.026125, 0.118170
 0.026250, 0.093217
 0.026375, 0.055162
 0.026500, 0.025652
 0.026625, 0.008907
 0.026750, 0.017457
 0.026875, 0.013021
 0.027000, 0.009704
 0.027125, 0.006831
 0.027250, 0.009519
 0.027375, 0.004224
 0.027500, 0.001635
 0.027625, 0.001653
 0.027750, 0.008359
 0.027875, 0.009053
 0.028000, 0.005787
 0.028125, 0.005022
 0.028250, 0.005422
 0.028375, 0.003277
 0.028500, 0.012045
 0.028625, 0.012846
 0.028750, 0.007933
 0.028875, 0.011996
 0.029000, 0.007036
 0.029125, 0.002982
 0.029250, 0.004695
 0.029375, 0.013366
 0.029500, 0.005314
 0.029625, 0.004368
 0.029750, 0.007347
 0.029875, 0.007829
 0.030000, 0.001966
 0.030125, 0.002415
 0.030250, 0.003088
 0.030375, 0.008663
 0.030500, 0.010657
 0.030625, 0.004112
 0.030750, 0.003347
 0.030875, 0.004472
 0.031000, 0.003584
 0.031125, 0.001358
 0.031250, 0.001386
 0.031375, 0.002736
 0.031500, 0.003798
 0.031625, 0.004565
 0.031750, 0.004078
 0.031875, 0.003370
 0.032000, 0.002031
 0.032125, 0.003370
 0.032250, 0.004078
 0.032375, 0.004565
 0.032500, 0.003798
 0.032625, 0.002736
 0.032750, 0.001386
 0.032875, 0.001358
 0.033000, 0.003584
 0.033125, 0.004472
 0.033250, 0.003347
 0.033375, 0.004112
 0.033500, 0.010657
 0.033625, 0.008663
 0.033750, 0.003088
 0.033875, 0.002415
 0.034000, 0.001966
 0.034125, 0.007829
 0.034250, 0.007347
 0.034375, 0.004368
 0.034500, 0.005314
 0.034625, 0.013366
 0.034750, 0.004695
 0.034875, 0.002982
 0.035000, 0.007036
 0.035125, 0.011996
 0.035250, 0.007933
 0.035375, 0.012846
 0.035500, 0.012045
 0.035625, 0.003277
 0.035750, 0.005422
 0.035875, 0.005022
 0.036000, 0.005787
 0.036125, 0.009053
 0.036250, 0.008359
 0.036375, 0.001653
 0.036500, 0.001635
 0.036625, 0.004224
 0.036750, 0.009519
 0.036875, 0.006831
 0.037000, 0.009704
 0.037125, 0.013021
 0.037250, 0.017457
 0.037375, 0.008907
 0.037500, 0.025652
 0.037625, 0.055162
 0.037750, 0.093217
 0.037875, 0.118170
 0.038000, 0.051979
 0.038125, 0.047625
 0.038250, 0.045785
 0.038375, 0.036999
 0.038500, 0.045902
 0.038625, 0.033668
 0.038750, 0.037167
 0.038875, 0.044477
 0.039000, 0.042830
 0.039125, 0.022443
 0.039250, 0.006490
 0.039375, 0.031624
 0.039500, 0.037222
 0.039625, 0.020472
 0.039750, 0.005480
 0.039875, 0.017529
 0.040000, 0.024977
 0.040125, 0.025647
 0.040250, 0.013777
 0.040375, 0.010733
 0.040500, 0.018940
 0.040625, 0.004550
 0.040750, 0.013198
 0.040875, 0.007716
 0.041000, 0.033314
 0.041125, 0.076518
 0.041250, 0.044934
 0.041375, 0.010467
 0.041500, 0.005165
 0.041625, 0.006275
 0.041750, 0.002368
 0.041875, 0.003054
 0.042000, 0.004209
 0.042125, 0.011491
 0.042250, 0.013357
 0.042375, 0.000974
 0.042500, 0.005721
 0.042625, 0.002424
 0.042750, 0.005455
 0.042875, 0.006669
 0.043000, 0.004179
 0.043125, 0.003299
 0.043250, 0.004849
 0.043375, 0.002941
 0.043500, 0.002754
 0.043625, 0.003450
 0.043750, 0.002245
 0.043875, 0.001129
 0.044000, 0.002211
 0.044125, 0.004661
 0.044250, 0.004981
 0.044375, 0.002083
 0.044500, 0.002463
 0.044625, 0.001418
 0.044750, 0.000784
 0.044875, 0.003133
 0.045000, 0.002611
 0.045125, 0.001186
 0.045250, 0.004510
 0.045375, 0.009393
 0.045500, 0.005582
 0.045625, 0.005593
 0.045750, 0.006842
 0.045875, 0.002413
 0.046000, 0.004820
 0.046125, 0.005206
 0.046250, 0.004519
 0.046375, 0.007346
 0.046500, 0.007171
 0.046625, 0.006120
 0.046750, 0.006481
 0.046875, 0.005977
 0.047000, 0.006535
 0.047125, 0.008906
 0.047250, 0.007887
 0.047375, 0.004097
 0.047500, 0.008915
 0.047625, 0.003564
 0.047750, 0.001715
 0.047875, 0.004645
 0.048000, 0.005122
 0.048125, 0.006231
 0.048250, 0.003026
 0.048375, 0.003088
 0.048500, 0.007833
 0.048625, 0.008886
 0.048750, 0.008540
 0.048875, 0.010222
 0.049000, 0.007054
 0.049125, 0.005247
 0.049250, 0.008799
 0.049375, 0.003166
 0.049500, 0.011516
 0.049625, 0.006316
 0.049750, 0.008143
 0.049875, 0.010147
 0.050000, 0.006250
 0.050125, 0.002450
 0.050250, 0.004914
 0.050375, 0.003869
 0.050500, 0.011045
 0.050625, 0.010308
 0.050750, 0.012615
 0.050875, 0.023243
 0.051000, 0.019203
 0.051125, 0.004904
 0.051250, 0.004801
 0.051375, 0.004663
 0.051500, 0.005771
 0.051625, 0.010498
 0.051750, 0.001911
 0.051875, 0.010150
 0.052000, 0.026543
 0.052125, 0.022957
 0.052250, 0.004041
 0.052375, 0.012125
 0.052500, 0.019095
 0.052625, 0.019269
 0.052750, 0.012041
 0.052875, 0.012550
 0.053000, 0.016968
 0.053125, 0.009357
 0.053250, 0.007198
 0.053375, 0.006278
 0.053500, 0.011231
 0.053625, 0.006196
