t, X_wave
 0.017500, -0.180298
 0.017625, -0.258545
 0.017750, -0.373138
 0.017875, -0.247864
 0.018000, -0.173157
 0.018125, -0.009460
 0.018250, 0.202454
 0.018375, 0.220734
 0.018500, 0.266815
 0.018625, 0.183777
 0.018750, 0.021179
 0.018875, -0.042236
 0.019000, -0.140869
 0.019125, -0.141327
 0.019250, -0.080048
 0.019375, -0.039154
 0.019500, 0.021332
 0.019625, 0.031525
 0.019750, 0.036407
 0.019875, 0.019135
 0.020000, 0.023865
 0.020125, 0.055786
 0.020250, 0.074890
 0.020375, 0.116364
 0.020500, 0.086060
 0.020625, 0.026428
 0.020750, -0.026184
 0.020875, -0.102234
 0.021000, -0.088104
 0.021125, -0.028168
 0.021250, 0.046051
 0.021375, 0.160339
 0.021500, 0.192566
 0.021625, 0.183838
 0.021750, 0.136749
 0.021875, 0.042755
 0.022000, -0.006866
 0.022125, -0.035187
 0.022250, -0.020630
 0.022375, 0.011414
 0.022500, 0.037537
 0.022625, 0.047089
 0.022750, 0.022675
 0.022875, 0.007111
 0.023000, -0.022369
 0.023125, -0.019440
 0.023250, 0.009644
 0.023375, 0.024536
 0.023500, 0.063202
 0.023625, 0.054230
 0.023750, 0.027435
 0.023875, -0.000977
 0.024000, -0.059387
 0.024125, -0.080078
 0.024250, -0.087128
 0.024375, -0.081635
 0.024500, -0.044312
 0.024625, -0.019257
 0.024750, 0.021942
 0.024875, -0.091095
 0.025000, -0.170868
 0.025125, -0.254913
 0.025250, -0.373566
 0.025375, -0.255005
 0.025500, -0.186890
 0.025625, -0.018524
 0.025750, 0.208923
 0.025875, 0.228821
 0.026000, 0.281769
 0.026125, 0.204010
 0.026250, 0.019714
 0.026375, -0.041412
 0.026500, -0.147461
 0.026625, -0.158844
 0.026750, -0.080017
 0.026875, -0.044312
 0.027000, 0.021362
 0.027125, 0.043488
 0.027250, 0.034180
 0.027375, 0.026154
 0.027500, 0.028320
 0.027625, 0.055542
 0.027750, 0.083557
 0.027875, 0.128815
 0.028000, 0.118439
 0.028125, 0.048126
 0.028250, -0.011017
 0.028375, -0.115448
 0.028500, -0.133575
 0.028625, -0.074615
 0.028750, -0.005951
 0.028875, 0.136536
 0.029000, 0.203766
 0.029125, 0.214600
 0.029250, 0.190948
 0.029375, 0.085785
 0.029500, 0.010315
 0.029625, -0.041595
 0.029750, -0.055847
 0.029875, -0.027863
 0.030000, 0.004333
 0.030125, 0.029602
 0.030250, 0.029266
 0.030375, 0.021667
 0.030500, 0.001709
 0.030625, -0.001221
 0.030750, 0.015594
 0.030875, 0.025177
 0.031000, 0.053192
 0.031125, 0.045197
 0.031250, 0.022491
 0.031375, -0.004303
 0.031500, -0.053162
 0.031625, -0.073914
 0.031750, -0.083710
 0.031875, -0.090332
 0.032000, -0.055481
 0.032125, -0.037933
 0.032250, -0.004486
 0.032375, -0.003021
 0.032500, -0.141052
 0.032625, -0.176819
 0.032750, -0.300659
 0.032875, -0.331909
 0.033000, -0.200775
 0.033125, -0.143463
 0.033250, 0.076935
 0.033375, 0.211395
 0.033500, 0.226746
 0.033625, 0.258911
 0.033750, 0.120728
 0.033875, -0.000549
 0.034000, -0.071899
 0.034125, -0.151306
 0.034250, -0.111969
 0.034375, -0.057953
 0.034500, -0.003357
 0.034625, 0.041138
 0.034750, 0.044678
 0.034875, 0.036224
 0.035000, 0.016022
 0.035125, 0.031799
 0.035250, 0.055634
 0.035375, 0.085297
 0.035500, 0.127991
 0.035625, 0.078094
 0.035750, 0.030273
 0.035875, -0.038116
 0.036000, -0.119568
 0.036125, -0.078613
 0.036250, -0.035339
 0.036375, 0.065308
 0.036500, 0.179443
 0.036625, 0.193604
 0.036750, 0.200134
 0.036875, 0.131866
 0.037000, 0.034973
 0.037125, -0.011597
 0.037250, -0.052979
 0.037375, -0.035858
 0.037500, -0.006561
 0.037625, 0.022736
 0.037750, 0.035950
 0.037875, 0.026093
 0.038000, 0.016968
 0.038125, -0.005981
 0.038250, 0.006439
 0.038375, 0.016266
 0.038500, 0.026001
 0.038625, 0.048737
 0.038750, 0.018311
 0.038875, 0.004517
 0.039000, -0.022369
 0.039125, -0.071747
 0.039250, -0.063477
 0.039375, -0.081482
 0.039500, -0.081757
 0.039625, -0.044830
 0.039750, -0.056183
 0.039875, -0.016968
 0.040000, -0.010132
 0.040125, -0.145416
 0.040250, -0.158020
 0.040375, -0.272278
 0.040500, -0.320587
 0.040625, -0.194305
 0.040750, -0.155426
 0.040875, 0.040100
 0.041000, 0.189453
 0.041125, 0.210907
 0.041250, 0.257599
 0.041375, 0.155304
 0.041500, 0.025513
 0.041625, -0.045349
 0.041750, -0.126770
 0.041875, -0.121521
 0.042000, -0.066986
 0.042125, -0.013733
 0.042250, 0.026276
 0.042375, 0.055359
 0.042500, 0.047211
 0.042625, 0.023804
 0.042750, 0.044128
 0.042875, 0.044708
 0.043000, 0.074097
 0.043125, 0.098755
 0.043250, 0.060150
 0.043375, 0.022797
 0.043500, -0.023376
 0.043625, -0.067413
 0.043750, -0.038544
 0.043875, 0.013550
 0.044000, 0.076569
 0.044125, 0.156708
 0.044250, 0.164459
 0.044375, 0.150238
 0.044500, 0.101013
 0.044625, 0.030090
 0.044750, -0.005798
 0.044875, -0.022858
 0.045000, -0.009003
 0.045125, 0.008026
 0.045250, 0.029266
 0.045375, 0.026031
 0.045500, 0.013519
 0.045625, 0.005768
